timestamp,experiment_id,tag,model,fold,cleaning,nlp_method,embedding,epochs,batch_size,train_time_sec,f1_macro,recall_neg,precision_pos,notes
2025-11-17T14:24:53.838662+00:00,C09,C09_LSTM_BI_20251117-092423,lstm,1,baseline,keras_tokenizer,learned,20,256,30.510140015991055,0.7748686428906453,0.8125701459034792,0.963623046875,BiLSTM C09 vocab50k
2025-11-17T14:25:22.873801+00:00,C09,C09_LSTM_BI_20251117-092423,lstm,2,baseline,keras_tokenizer,learned,20,256,31.41927959199529,0.7885090487052939,0.801123595505618,0.9638236703402012,BiLSTM C09 vocab50k
2025-11-17T14:25:48.092627+00:00,C09,C09_LSTM_BI_20251117-092423,lstm,3,baseline,keras_tokenizer,learned,20,256,27.061590322002303,0.7703423364968808,0.801123595505618,0.9580838323353293,BiLSTM C09 vocab50k
2025-11-17T14:30:12.237922+00:00,C10,C10_LSTM_BI_20251117-092935,lstm,1,lemmatize,keras_tokenizer,learned,20,256,37.09430202598742,0.7717497302389553,0.7227833894500562,0.9564071856287425,BiLSTM C10 dropout0.3
2025-11-17T14:30:42.233711+00:00,C10,C10_LSTM_BI_20251117-092935,lstm,2,lemmatize,keras_tokenizer,learned,20,256,32.40548842000135,0.7787284967426843,0.7595505617977528,0.9538606403013182,BiLSTM C10 dropout0.3
2025-11-17T14:31:12.152461+00:00,C10,C10_LSTM_BI_20251117-092935,lstm,3,lemmatize,keras_tokenizer,learned,20,256,32.32300823900732,0.7570460513403776,0.8910112359550562,0.9535486913463805,BiLSTM C10 dropout0.3
2025-11-17T14:32:54.793150+00:00,C11,C11_LSTM_BI_20251117-093214,lstm,1,stem,keras_tokenizer,learned,20,256,41.065808647996164,0.7865886208133914,0.7946127946127947,0.9586305278174037,BiLSTM C11 stem dropout0.3
2025-11-17T14:34:34.430209+00:00,C11,C11_LSTM_BI_20251117-093214,lstm,2,stem,keras_tokenizer,learned,20,256,109.0678535069892,0.7782157020485062,0.8348314606741573,0.962827097089753,BiLSTM C11 stem dropout0.3
2025-11-17T14:35:01.190645+00:00,C11,C11_LSTM_BI_20251117-093214,lstm,3,stem,keras_tokenizer,learned,20,256,28.674510151002323,0.7566988242050563,0.7752808988764045,0.9688133874239351,BiLSTM C11 stem dropout0.3
2025-11-17T14:40:34.906725+00:00,C01,C01_LSTM_20251117-094003,lstm,1,baseline,keras_tokenizer,learned,20,256,31.411057609002455,0.3181386453954739,0.052749719416386086,0.734215374309161,LSTM C01 receta cuDNN
2025-11-17T14:40:48.439622+00:00,C01,C01_LSTM_20251117-094003,lstm,2,baseline,keras_tokenizer,learned,20,256,14.646378315999755,0.31272592030551155,0.051685393258426963,0.7336683417085427,LSTM C01 receta cuDNN
2025-11-17T14:41:02.483393+00:00,C01,C01_LSTM_20251117-094003,lstm,3,baseline,keras_tokenizer,learned,20,256,14.673344504990382,0.31344012457667114,0.05393258426966292,0.7336354481369587,LSTM C01 receta cuDNN
2025-11-17T14:41:49.603079+00:00,C02,C02_LSTM_20251117-094132,lstm,1,baseline,keras_tokenizer,word2vec,20,256,16.193865912995534,0.08547992516908907,1.0,0.0,LSTM C02 receta cuDNN
2025-11-17T14:42:06.601893+00:00,C02,C02_LSTM_20251117-094132,lstm,2,baseline,keras_tokenizer,word2vec,20,256,18.096314137001173,0.3136826215962947,0.052808988764044947,0.73396952954964,LSTM C02 receta cuDNN
2025-11-17T14:42:23.687475+00:00,C02,C02_LSTM_20251117-094132,lstm,3,baseline,keras_tokenizer,word2vec,20,256,18.723635379006737,0.3142627631349436,0.051685393258426963,0.7336127409891031,LSTM C02 receta cuDNN
2025-11-17T14:43:50.324161+00:00,C03,C03_LSTM_20251117-094318,lstm,1,lemmatize,keras_tokenizer,learned,20,256,31.850680507996003,0.47534284846503577,0.8282828282828283,0.876362792855486,LSTM C03 receta cuDNN
2025-11-17T14:44:07.287914+00:00,C03,C03_LSTM_20251117-094318,lstm,2,lemmatize,keras_tokenizer,learned,20,256,18.009401900999364,0.3122886399621993,0.04719101123595506,0.7334893830463133,LSTM C03 receta cuDNN
2025-11-17T14:44:18.885000+00:00,C03,C03_LSTM_20251117-094318,lstm,3,lemmatize,keras_tokenizer,learned,20,256,12.663969392990111,0.312840319205446,0.052808988764044947,0.7335570469798658,LSTM C03 receta cuDNN
2025-11-17T14:44:47.869342+00:00,C04,C04_LSTM_20251117-094431,lstm,1,lemmatize,keras_tokenizer,word2vec,20,256,14.901118798996322,0.08547992516908907,1.0,0.0,LSTM C04 receta cuDNN
2025-11-17T14:45:07.135118+00:00,C04,C04_LSTM_20251117-094431,lstm,2,lemmatize,keras_tokenizer,word2vec,20,256,20.429147827991983,0.08557203730582036,1.0,1.0,LSTM C04 receta cuDNN
2025-11-17T14:45:40.831986+00:00,C04,C04_LSTM_20251117-094431,lstm,3,lemmatize,keras_tokenizer,word2vec,20,256,36.82637161700404,0.4667449043816121,0.6786516853932584,0.8356777493606138,LSTM C04 receta cuDNN
2025-11-17T14:46:43.730513+00:00,C05,C05_LSTM_20251117-094627,lstm,1,stem,keras_tokenizer,learned,20,256,14.341337637990364,0.08547992516908907,1.0,0.0,LSTM C05 receta cuDNN
